720,Manga Vieja,4452,Salta
721,Manuel Elordi,4550,Salta
722,Manuela Pedraza,4560,Salta
723,Maria Jose,4530,Salta
724,Maria Luisa,4533,Salta
725,Martin Garcia,4535,Salta
726,Martinez Del Tinco,4537,Salta
727,Martinez Del Tineo,4537,Salta
728,Matansillas,4633,Salta
729,Mayo Torito,4401,Salta
730,Mecoyita,4651,Salta
731,Media Luna,4449,Salta
732,Media Luna,4535,Salta
733,Media Luna,4405,Salta
734,Merced De Arriba,4405,Salta
735,Meseta,4409,Salta
736,Meson,4651,Salta
737,Metan,4440,Salta
738,Metan Viejo,4441,Salta
739,Mina Carolina,4409,Salta
740,Mina Don Otto,4425,Salta
741,Mina Julio,4411,Salta
742,Mina San Esteban,4415,Salta
743,Mina San Guillermo,4415,Salta
744,Mina San Walterio,4415,Salta
745,Mina Tincalaya,4413,Salta
746,Minas Victoria,4415,Salta
747,Minas Ypf,4448,Salta
748,Minas Ypf,4530,Salta
749,Miraflores,4448,Salta
750,Miraflores,4126,Salta
751,Miraflores,4434,Salta
752,Miraflores M,4444,Salta
753,Mision Chaqueña,4554,Salta
754,Mision Franciscana,4560,Salta
755,Mision Franciscana,4530,Salta
756,Mision La Paz,4561,Salta
757,Mision Santa Lucia,4561,Salta
758,Misiones,4554,Salta
759,Mistol Mareado,4554,Salta
760,Mistolar,4554,Salta
761,Mojotoro,4432,Salta
762,Molino,4423,Salta
763,Molino,4644,Salta
764,Molino De Gongora,4415,Salta
765,Molinos,4419,Salta
766,Mollar,4644,Salta
767,Molle Pozo,4446,Salta
768,Mollinedo,4535,Salta
769,Monasterios,4449,Salta
770,Monte,4401,Salta
771,Monte Carmelo,4554,Salta
772,Monte Grande,4419,Salta
773,Monte Viejo,4427,Salta
774,Monte Viejo,4427,Salta
775,Morales,4425,Salta
776,Morenillo,4193,Salta
777,Morillo,4554,Salta
778,Muñano Kilometro 1308,4411,Salta
779,Nazareno,4651,Salta
780,Nogalito,4440,Salta
781,Nuestra Señora De Talavera,4452,Salta
782,Nuevo Porvenir,4550,Salta
783,Ojo De Agua,4415,Salta
784,Ojo De Agua,4430,Salta
785,Ojo De Agua,4190,Salta
786,Olacapanto Chico,4413,Salta
787,Olacapanto Grande,4413,Salta
788,Olmos,4403,Salta
789,Oran,4530,Salta
790,Osma,4421,Salta
791,Otomana,4550,Salta
792,Ovando,4190,Salta
793,Ovejeria,4444,Salta
794,Ovejeria,4198,Salta
795,Ovejero,4126,Salta
796,P Salvador Mazza Est Pocito,4568,Salta
797,Pal Tolco,4651,Salta
798,Palermo,4449,Salta
799,Palermo Oeste,4415,Salta
800,Palma,4449,Salta
801,Palmarcito,4535,Salta
802,Palmira,4423,Salta
803,Palo A Pique,4449,Salta
804,Palo Pintado,4427,Salta
805,Palo Santo,4554,Salta
806,Palomar,4190,Salta
807,Palomitas,4434,Salta
808,Pampa Grande,4425,Salta
809,Papa Chacra,4651,Salta
810,Paraiso,4535,Salta
811,Paraje Campo Largo,4560,Salta
812,Paraje Cerro Negro,4411,Salta
813,Paraje Cobres,4411,Salta
814,Paraje Cortaderas,4411,Salta
815,Paraje Esquina De Guardia,4411,Salta
816,Paraje Las Cuevas,4411,Salta
817,Paraje Mina Concordia,4411,Salta
818,Paraje Morro Colorado,4411,Salta
819,Paraje Nacimientos,4411,Salta
820,Paraje Olacapato,4413,Salta
821,Paraje Pastos Grandes,4411,Salta
822,Paraje Pircas,4411,Salta
823,Paraje Pizcuno,4411,Salta
824,Paraje Uncuru,4411,Salta
825,Paraje Zanjon,4403,Salta
826,Paramamaya,4430,Salta
827,Parani,4530,Salta
828,Paredes,4401,Salta
829,Pascalla,4651,Salta
830,Pascha,4405,Salta
831,Paso De Baderrana,4440,Salta
832,Paso De La Cruz,4434,Salta
833,Paso De Las Carretas,4446,Salta
834,Paso Del Durazno,4440,Salta
835,Paso Del Rio,4421,Salta
836,Paso El Milagro San Aniceto,4535,Salta
837,Paso La Cruz,4446,Salta
838,Paso Verde,4198,Salta
839,Pasteadero,4440,Salta
840,Pastor Sevillosa,4552,Salta
841,Payogasta,4415,Salta
842,Payogastilla,4427,Salta
843,Peñaflor,4423,Salta
844,Peñalva,4401,Salta
845,Peñas Azules,4421,Salta
846,Peñas Blancas,4419,Salta
847,Pedregal,4423,Salta
848,Pedro Lozano,4554,Salta
849,Peru,4440,Salta
850,Pichanal,4534,Salta
